id,lecture_id,question,time,created_at,updated_at,hide,question_type,quiz_type,group_id,course_id,start_time,end_time,inclass,graded,display_text,intro,self,in_group,discussion,xcoor,ycoor,height,width
87445,54555,"<p class=""medium-editor-p"">QE2.13</p>",33.816894,2020-01-13 12:21:48,2020-01-13 12:21:54,true,OCQ,survey,17151,4363,33.816894,33.816894,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87447,54555,"<p class=""medium-editor-p"">QE2.15</p>",38.069864,2020-01-13 12:22:27,2020-01-13 12:22:32,true,OCQ,survey,17151,4363,38.069864,38.069864,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87448,54555,"<p class=""medium-editor-p"">QE2.16</p>",40.508577,2020-01-13 12:22:48,2020-01-13 12:22:54,true,OCQ,survey,17151,4363,40.508577,40.508577,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87450,54555,"<p class=""medium-editor-p"">QE2.17</p>",42.190768,2020-01-13 12:23:09,2020-01-13 12:23:14,true,OCQ,survey,17151,4363,42.190768,42.190768,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87451,54555,"<p class=""medium-editor-p"">QE2.18</p>",44.627264,2020-01-13 12:23:28,2020-01-13 12:23:33,true,OCQ,survey,17151,4363,44.627264,44.627264,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87452,54555,"<p class=""medium-editor-p"">QE2.19</p>",46.75372,2020-01-13 12:23:54,2020-01-13 12:24:06,true,OCQ,survey,17151,4363,46.75372,46.75372,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87453,54555,"<p class=""medium-editor-p"">QE2.20</p>",49.363615,2020-01-13 12:24:36,2020-01-13 12:24:42,true,OCQ,survey,17151,4363,49.363615,49.363615,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87454,54555,"<p class=""medium-editor-p"">QE2.21</p>",51.659187,2020-01-13 12:24:57,2020-01-13 12:25:05,true,OCQ,survey,17151,4363,51.659187,51.659187,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87446,54555,"<p class=""medium-editor-p"">QE2.14</p>",35.782549,2020-01-13 12:22:07,2020-02-24 10:18:39,true,OCQ,survey,17151,4363,35.782549,35.782549,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88420,55462,"<p class=""medium-editor-p"">QE3.3.1</p>",9.093065,2020-01-20 11:14:06,2020-01-20 11:14:13,true,OCQ,survey,17151,4363,9.093065,9.093065,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88422,55462,"<p class=""medium-editor-p"">QE3.4.1</p>",10.988198,2020-01-20 11:14:49,2020-01-20 11:14:56,true,OCQ,survey,17151,4363,10.988198,10.988198,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88424,55462,"<p class=""medium-editor-p"">QE3.5.1</p>",13.31885,2020-01-20 11:15:27,2020-01-20 11:15:35,true,OCQ,survey,17151,4363,13.31885,13.31885,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88448,55462,"<p class=""medium-editor-p"">QE3.17.1</p>",35.838988,2020-01-20 11:22:47,2020-01-20 11:22:55,true,OCQ,survey,17151,4363,35.838988,35.838988,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88451,55462,"<p class=""medium-editor-p"">QE3.18.2</p>",38.362195,2020-01-20 11:23:55,2020-01-20 11:24:02,true,OCQ,survey,17151,4363,38.362195,38.362195,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88454,55462,"<p class=""medium-editor-p"">QE3.20.1</p>",41.567967,2020-01-20 11:25:03,2020-01-20 11:25:10,true,OCQ,survey,17151,4363,41.567967,41.567967,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88457,55462,"<p class=""medium-editor-p"">QE3.21.2</p>",44.388646,2020-01-20 11:26:27,2020-01-20 11:26:34,true,OCQ,survey,17151,4363,44.388646,44.388646,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88463,55462,"<p class=""medium-editor-p"">QE3.24.2</p>",49.475047,2020-01-20 11:28:57,2020-01-20 11:29:04,true,OCQ,survey,17151,4363,49.475047,49.475047,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88464,55462,"<p class=""medium-editor-p"">QE3.25.1</p>",50.80297,2020-01-20 11:29:18,2020-01-20 11:29:25,true,OCQ,survey,17151,4363,50.80297,50.80297,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88465,55462,"<p class=""medium-editor-p"">QE3.25.2</p>",51.514727,2020-01-20 11:29:36,2020-01-20 11:29:44,true,OCQ,survey,17151,4363,51.514727,51.514727,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
